trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
129,False,"{'a': 0.5, 'e': 0.6129999999999997}",25,13,-49.801009479636846,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 1}",1
130,False,"{'a': 0.5, 'e': 0.6099999999999997}",20,0,-90.99142933421994,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
131,False,"{'a': 0.5, 'e': 0.6069999999999997}",25,0,-43.48266901761889,"{0: 17, 1: 5, 2: 2, 3: 1, 4: 0}",0
132,False,"{'a': 0.5, 'e': 0.6039999999999996}",25,0,-51.76374369782151,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 2}",0
133,False,"{'a': 0.5, 'e': 0.6009999999999996}",20,0,-106.34415489389508,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
134,False,"{'a': 0.5, 'e': 0.5979999999999996}",20,11,-72.44475563898577,"{0: 5, 1: 0, 2: 2, 3: 1, 4: 1}",1
135,False,"{'a': 0.5, 'e': 0.5949999999999996}",20,5,-18.543336312679347,"{0: 10, 1: 3, 2: 2, 3: 0, 4: 0}",1
136,False,"{'a': 0.5, 'e': 0.5919999999999996}",25,0,-51.32880600302426,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
137,False,"{'a': 0.5, 'e': 0.5889999999999996}",20,11,14.5945641027842,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.5859999999999996}",25,3,-117.10755179963596,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 2}",1
139,False,"{'a': 0.5, 'e': 0.5829999999999996}",20,13,2.9351150526938397,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
140,False,"{'a': 0.5, 'e': 0.5799999999999996}",20,9,-14.407231198609635,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.5769999999999996}",20,10,-11.630812278444207,"{0: 8, 1: 1, 2: 0, 3: 1, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.5739999999999996}",25,6,-74.64221084409543,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 2}",1
143,False,"{'a': 0.5, 'e': 0.5709999999999996}",20,1,-20.385114061223916,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.5679999999999996}",25,17,-8.648300461438179,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
145,False,"{'a': 0.5, 'e': 0.5649999999999996}",25,0,-57.306657410680515,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
146,False,"{'a': 0.5, 'e': 0.5619999999999996}",30,10,-3.700087325982203,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",1
147,False,"{'a': 0.5, 'e': 0.5589999999999996}",25,0,-44.242182211827064,"{0: 19, 1: 4, 2: 1, 3: 0, 4: 1}",0
148,False,"{'a': 0.5, 'e': 0.5559999999999996}",25,9,17.3771975383851,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.5529999999999996}",20,13,4.289190604598518,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-51.4453631930683,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
151,False,"{'a': 0.5, 'e': 0.5469999999999996}",25,6,-123.51765560202361,"{0: 7, 1: 5, 2: 5, 3: 1, 4: 1}",1
152,False,"{'a': 0.5, 'e': 0.5439999999999996}",30,0,-65.5188065254889,"{0: 23, 1: 3, 2: 2, 3: 1, 4: 1}",0
153,False,"{'a': 0.5, 'e': 0.5409999999999996}",20,13,3.1332031323459972,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.5379999999999996}",25,0,-95.9300423118618,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
155,False,"{'a': 0.5, 'e': 0.5349999999999996}",30,12,10.927173593374008,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.5319999999999996}",30,14,0.6432844254268457,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.5289999999999996}",20,2,-73.50402325712282,"{0: 12, 1: 1, 2: 2, 3: 3, 4: 0}",1
158,False,"{'a': 0.5, 'e': 0.5259999999999996}",20,16,9.83921651312683,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.5, 'e': 0.5229999999999996}",20,4,-95.3405296106151,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 2}",1
160,False,"{'a': 0.5, 'e': 0.5199999999999996}",25,0,-188.410159132964,"{0: 14, 1: 1, 2: 6, 3: 1, 4: 3}",0
